old names;ror_name;ror_id
School of Accountancy, J. Mack Robinson College of Business, Georgia State University;Georgia State University;03qt6ba18
Campbell University - Norman Adrian Wiggins School of Law;Campbell University;00dv9q566
Boston College - Law School;Boston College;02n2fzt79
Hakim Nezami institution of higher education at Quchan-Iran;Rahman Institute of Higher Education;01k1m6p08
Columbia University - Columbia Business School, Accounting, Business Law & Taxation;Columbia University;00hj8s172
Hitotsubashi University - Graduate School of International Corporate Strategy;Hitotsubashi University;04jqj7p05
The American University in Cairo;American University in Cairo;0176yqn58
Stanford Graduate School of Business;One School of Business;05rgttv76
Nigerian Defence Academy;Nigerian Defence Academy;02nt7a109
Deutsche Bundesbank - Economics Department;Deutsche Bundesbank;03jvfq589
Lancaster University - Lancaster University Management School;Lancaster University;04f2nsd36
American Accounting Association;American Accounting Association;0024sf220
Lehman College;Lehman College;03m908832
Duke University;Duke University;00py81415
Bocconi University - Department of Accounting;Bocconi University;05crjpb27
Bocconi University - Department of Law;Bocconi University;05crjpb27
Bocconi University - Department of Accounting;Bocconi University;05crjpb27
Bocconi University - Department of Law;Bocconi University;05crjpb27
Bocconi University - Department of Accounting;Bocconi University;05crjpb27
Bocconi University - Department of Law;Bocconi University;05crjpb27
Bocconi University - Department of Accounting;Bocconi University;05crjpb27
Bocconi University - Department of Law;Bocconi University;05crjpb27
Amsterdam Business School;Institut des Hautes Études de Management;04cat5h68
University of Sri Jayewardenepura;University of Sri Jayewardenepura;02rm76t37
University of Texas at Austin - Department of Economics;The University of Texas at Austin;00hj54h04
UECE (Research Unit on Complexity and Economics) - REM (Research in Economics and Mathematics). Universidade de Lisboa  - ISEG (Lisbon School of Economics and Management);Zagreb School of Economics and Management;04bqkh239
Independent, Universiti Utara Malaysia;Northern University of Malaysia;01ss10648
City University London - International Political Economy;Lead City University;043z5qa52
Eastern University Sri Lanka;Eastern University;05e2ncr14
New York University School of Law;New York University;0190ak572
Tilburg University - Tilburg University School of Economics and Management;Tilburg University;04b8v1s79
Université Paris Nanterre and EconomiX (UMR7235);Université Paris Nanterre;013bkhk48
Griffith University - Griffith Business School;Griffith University;02sc3r913
University of Arizona;University of Arizona;03m2x1q45
ESCP Business School, Department of Financial Reporting & Audit;ESCP Business School;040hhjv66
Ekiti State University;Ekiti State University;02c4zkr79
UNC Chapel Hill;University of North Carolina at Chapel Hill;0130frc33
University of Piraeus, Department of Banking and Financial Management;University of Piraeus;02qs84g94
Korea Institute for National Unification;Korea Institute for National Unification;03ta21y66
Fayetteville State University - Department of Accounting;Fayetteville State University;03rj92e31
University of North Carolina (UNC) at Charlotte - Department of Accounting;University of South Carolina;02b6qw903
Boston College;Boston College;02n2fzt79
Office of Financial Research, U.S. Department of the Treasury;United States Department of the Treasury;028t43p77
Sookmyung Women's University;Sookmyung Women's University;00vvvt117
University of Dhaka - Department of Accounting & Information Systems;University of Dhaka;05wv2vq37
University of Freiburg - Institute of Public Finance;Institute of Public Finance;0229a6d71
University of Aberdeen;University of Aberdeen;016476m91
Barry University;Barry University;04r1hh402
University of Pittsburgh;University of Pittsburgh;01an3r305
Embry-Riddle Aeronautical University;Embry–Riddle Aeronautical University;010jskt71
Harvard University - Department of Economics;Harvard University;03vek6s52
University of California, Berkeley - Haas School of Business;University of California, Berkeley;01an7q238
Audencia Business School;Audencia Business School;000axn811
Quest International University Perak - Faculty of Integrative Sciences and Technology;Quest International University Perak;04w8dt298
Dep't of Law, Democritus University of Thrace;Democritus University of Thrace;03bfqnx40
Leuphana University of Lueneburg;Leuphana University of Lüneburg;02w2y2t16
University of North Texas - Department of Accounting;University of North Texas;00v97ad02
Institute of Accountancy Arusha;Institute of Accountancy Arusha;009nnap37
Catholic University of America (CUA);Catholic University of America;047yk3s18
Universidad del Rosario;Universidad del Rosario;0108mwc04
Harvard Business School - Finance Unit;EADA Business School;033qfx261
University of Ljubljana - Faculty of Administration;University of Ljubljana;05njb9z20
Goizueta Business School;EAE Business School;03qzktr95
Kennesaw State University - Michael J. Coles College of Business;Kennesaw State University;00jeqjx33
St Xavier's College;St Xavier’s College;039543c28
University of Delaware - Economics;University of Delaware;01sbq1a82
Sebelas Maret University;Sebelas Maret University;021hq5q33
